"2024-12-19 00:00:00","","-1","-1"
"날씨가 이리 추운가? 계양천 얼음이 얼어있네요#shorts#이미자#청춘고백#얼음","","601","19"
"[날씨] 내일 밤 중부 최대 10㎝ 적설…기온은 평년 수준 회복 / 연합뉴스TV (YonhapnewsTV)","[날씨] 내일 밤 중부 최대 10㎝ 적설…기온은 평년 수준 회복 내일 서쪽 지역부터 비나 눈이 내리겠습니다. 밤이 되면 전국으로 확대돼 ...","3181","112"
"🚦푸바오 이시간도 양손간식 먹고있길~ #푸바오실시간 #푸바오근황 #판다월드 #에버랜드 #아이바오 #러바오 #루이바오 #후이바오 #강바오 #송바오 #푸둥푸둥 #푸바오경련","","2686","549"
"The Real 😩😱#차은우#chaeunwoo #eunwoo #astro #aroha #fyp #viral #trending #viralvideo #fypシ","","2721","436"
"어딘가 많~이 이상한 인형들🧸.jpg","Shorts 쇼츠 구독하기, 좋아요 한번씩 눌러주시면 너무 감사하겠습니다 ㅎ_ㅎ ▷ https://goo.gl/c21mgR ◁구독하기! 똘킹 유튜브 채널 ...","282558","12378"
"탄핵이 헌재에서 기각될 가능성 단 1%도 없다.","이동형tv #이이제이 #뉴스 #시사 #정치 #언론.","85182","7665"
"제노페이지 군단이 몰려오며 끝없는 위기에 몰린 #베놈","한 마리도 못잡았는데 대규모 이벤트 발생... #짐 #화이트심비오트 #애니멀 #텐드릴 #하이브리드 #라바 #코덱스 #모르도 #마블 #소니 ...","77487","2066"
"요구르트 한잔 후 제로산소챌린지🤣 #춤추는큰서윤#큰서윤#제로산소#춤추는곰돌#춤추는현수#틱톡#쇼츠#댄스#챌린지#dance#challenge#tiktok#shortst#afstarz","","3318","206"
"사람이 가장 아름다울 때 #부자 #명상 #자기계발 #거울명상 #무의식정화 #끌어당김 #끌어당김의법칙 #부자명상 #행복명상 #마음공부","문은식 소장과 함께 하는 행복하고 기적같은 삶의 이야기. 좋아요와 구독을 누르면 더 행복합니다.","465","21"
"윤석열 수사 거부하는데 한동훈은 전격 사퇴! 당내 충격발언 나와","윤석열 수사 거부하는데 한동훈은 전격 사퇴! 당내 충격발언 나와.","123030","7077"
"{ #히루_서바이벌 @빤짝핑_내꺼가되라   구독 인증 했습니댜🍬 }","","533","19"
"미리 예고하는 &#39;내란&#39;은 없다고요?","오늘(2024년 12월 19일), 윤석열 측 석 변호사의 기자회견이 정말 가관입니다. 미리 예고하는 내란이 어디 있냐며, 당당하게 말합니다.","505","19"
"2024-12-18 00:00:00","","-1","-1"
"&#39;오늘도 공블리&#39; 공효진이 택한 작품 &#39;별들에게 물어봐&#39;","이민호 #공효진 #별들에게물어봐 tvN '별들에게 물어봐' 제작발표회가 18일 서울 구로구 신도림 디큐브시티에서 열렸다. 공효진이 ...","1100","3"
"블루투스 마이크로 부르는 노래에.. 듣다가 못 참고 Billie Eilish - idontwannabeyouanymore","수니그룹 #billieeilish #idontwannabeyouanymore #coversong #커버노래 #shorts #류하 방송국 주소 ...","22359","603"
"부처님이 날 허락하실까?","카더정원 #카더가든.","62716","1730"
"롤에서 공속이 가장 빠른 챔피언은? #shorts","shorts #롤 #챔피언 ※롤과 관련된 궁금한 점이 있으시면 언제든 댓글로 남겨주세요※","109216","5112"
"니 차례다 이눔아 #오징어게임","","444131","13741"
"어제 저녁에 꿈을꿨는데 #전쟁이나면","","13718","506"
"25톤 탱크로리가 25톤 트레일러를 쾅! [이 시각 소방청 상황실] / KBS  2024.12.18.","소방청 상황실입니다. 오늘은 고속도로에서 일어난 대형 교통사고로 불까지 크게 난 소식부터 전해드립니다. 사고가 난 곳은 경남 진주 ...","59944","206"
"댄스챌린지로 돌아보는 2024년 -1편-","하이론 #댄스챌린지 #2024댄스챌린지 #공주들은원래그래 #너와의모든지금 #케이챌린지 #옴브리뉴 #미룬이 #이머전시.","38631","1483"
"뒷모습에 눈물이 났어요 / 배우 오미희 명축사시리즈 3탄","오미희 #배우오미희 #배우간증 #간증 #교회 #한국교회 #명축사 #축사 #서울김포영광교회.","4493","180"
"가치관이 다른 사람과의 연애","가치관 #연애 #결혼 #연애고민 다 잘 맞는데 가치관이 다른 사람과 결혼해도 될까요?","2294","0"
"개인들은 떠나고...기관이 조용히 잡는 이 종목! | 온라인 국고처 241218 #shorts","크래프톤 #종목상담 #온라인국고처 개인들은 떠나고...기관이 조용히 잡는 이 종목! | 온라인 국고처 241217 ...","792","11"
"2024-12-17 00:00:00","","-1","-1"
"[playlist 441218] 🎄자꾸만 생각이 나는 크리스마스 매장음악🎄눈내리는 날 듣기좋은 음악/크리스마스 플레이리스트/스트레스해소음악/수면유도음악[FM032]","플로잉 뮤직에서 감성적인 음악과 함께 편안하게 쉬고 가세요~~~   #분위기좋은음악 #스타벅스음악 #starbucks #starbucksmusic ...","14221","30"
"[베이비몬스터] 이 영상 보는 순간 당신도 몬스티즈 #베이비몬스터 #babymonster #베몬 #baemon","베이비몬스터 #babymonster #kpop #idol.","41868","3258"
"최겁쟁이씨??😡 성준 놀래키는 하슬이 귀여워😍 #웃기시네 #최하슬 #스케치코미디","","11298","265"
"아프리카 아이들에게 찜닭을 만들어줬더니 반응이!!!","쇼츠 #shorts.","971190","41255"
"농잘알 폴피어스와 케빈가넷이 말하는 NBA 시그니처 무브","느바 #NBA #조던 #코비 #폴피어스 #케빈가넷 #팀하더웨이 #론도 #노비츠키 #팀던컨 #미국농구 #농구 #쇼츠 #shorts #shortsvideo ...","40475","749"
"&quot;러시아군, 북한군 시신 얼굴 불태워&quot;...젤렌스키가 공개한 영상 [지금이뉴스]  / YTN","볼로디미르 젤렌스키 우크라이나 대통령이 ""러시아가 전사한 북한 병사들의 신원을 감추기 위해 얼굴까지 소각하고 있다""고 주장하며 ...","297523","1849"
"조배숙 &quot;이재명 대표는 내로남불의 전형&quot; / 티조Clip #shorts","조배숙 #이재명 #헌법재판소 [TV조선 뉴스·시사 프로그램｜유튜브 라이브 방송시간] 월~금 06:50 강스라이팅 (유튜브) 월~금 ...","592307","38174"
"이렐리아: 아 그냥 집 보낼걸...","세트 #롤 #shorts.","20262","696"
"며느리 친정에 자주 보내주는 이유#사랑이뭐길래","사랑이뭐길래#what on earth is love#kdrama#윤여정#younyuhjung#하희라#김혜자 #신애라#이재룡.","120485","1433"
"소금 + 섬유유연제? 이 조합, 상상도 못한 효과💯  #소금활용법 #섬유유연제꿀팁 #생활꿀팁 #shorts","소금과 섬유유연제를 섞으면 생기는 일! ✨ 소금 + 섬유유연제? 이렇게 활용하면 대박 효과! 평범한 소금과 섬유유연제를 섞기만 ...","6909","114"
"[서울역노숙자 부부] 두 가정이 시작 됩니다.","이상덕목사 #서울역 #노숙자.","43570","518"
"2024-12-16 00:00:00","","-1","-1"
"[한강이 온다] 제주 4.3 사건의 비극성을 보여준 한강의 ＜작별하지 않는다＞, MBC 241216 방송","More clips are available iMBC http://www.imbc.com/broad/tv/culture/docuflex/ https://program.imbc.com/culture ...","192","8"
"옆방에서 자꾸 카톡이 온다..","고양이 #cat #catshorts 처음에만 좋았던 동생 침대 뺏김ㅋㅋㅋㅋㅋㅋㅋㅋㅋ.","204733","12072"
"배꾸다꾸 배꿍이 선물깡 ft 고민상담 ❄️","","27785","1466"
"현역가왕2 박서진이 있었구나!! 시청률 고공상승 9.0% 진정한 &#39;광대&#39;는 따라올 자 없다","현역가왕2 #박서진 #최수호.","13880","2582"
"동라에몽 용기쥬스","","230902","10819"
"김근식 &quot;85명이라는 압도적 다수가 탄핵 반대...국민의힘 계엄옹호당 낙인&quot;｜지금 이 뉴스","김근식 국민의힘 서울 송파병 당협위원장은 오늘(16일) 그제 윤석열 대통령 탄핵소추안 표결에서 다수의 국민의힘 의원들이 반대표를 ...","56465","1277"
"경찰이 체포한 내란범 풀어준 검찰 [짧뉴] #짧은뉴스 #내란죄 #수사권한","","141725","6516"
"복수의시간이 왔다! 그래도 조심할것은? #유시민","","14243","571"
"느바 망해가는 이유는 사무국 주작질 때문이지","NBA #미국농구.","30685","413"
"오빠랑 자꾸 싸운다는 동생 그 이유는!? | 개그콘서트 Gagconcert | KBS방송","소통왕말자할매 #정범균 #김영희 #말자할매 #T할머니 ▷ 매주 일요일 밤 10시 50분 KBS 2TV ▷ 일반인 출연자에 대한 지나친 비방 ...","14869","300"
"암호화폐, 2025년까지 사상 최고치…&quot;비트코인 30% 급락이 먼저&quot;","저작권자(c) 연합뉴스경제TV, 무단 전재-재배포, AI 학습 및 활용 금지 #Shorts #암호화폐 #비트코인 #급락 #알트코인 #코인전망 ...","14279","205"
"2024-12-15 00:00:00","","-1","-1"
"[MV] 이터널리턴 - 혀누는 강쥐","현우의 삶 원곡 : 해원(NMIXX) - 마루는 강쥐 #이터널리턴 #이리 #ai커버 #ai노래 #마루는강쥐 #현우 #근딜 #udio #suno.","8466","215"
"내 동년배들은 이 노래 다 안다","무슨노래일까요??? 푸하하 테테테텥테테테테테 영상/ 다로나로, 퍼뜩.","108098","10878"
"유튜브에서 특급퀵배송이 왔습니다","보겸TV.","660666","33489"
"개쩌는 NBA 챌린지","NBA #레전드 #챌린지 NBA는 1947년부터 크리스마스 당일에 가장 인기 있는 팀들의 5 게임 매치업을 진행함. 이를 알리기 위해 광고 ...","855687","24492"
"여왕은 울지 않아 챌린지 유행은 뭘까?","","4163","147"
"[ 지금 거신 전화는 ] 드디어 터진 백사언의 불륜 스캔들! 그런데 불륜 상대가 와이프라고?!","[ 지금 거신 전화는 7회 예고 ] 드디어 터진 백사언의 불륜 스캔들! 그런데 불륜 상대가 와이프라고?! #지금거신전화는.","14874","79"
"어떤 회사의 면접 #고양이밈","면접 #대한민국 #사회 #이슈 #사건사고.","12521","269"
"디플러스 기아 로고가 바뀐다면?","","149509","3244"
"이렇게 하면 왼팔이 쫙! 펴집니다.","골프레슨 #골프스윙 #golf [ 하와이골프 쇼핑몰 ] https://smartstore.naver.com/howhygolf [하와이골프 홈페이지] ...","17850","242"
"삐돌이 오지명 2탄!! 352회  #웃긴짤 #웃긴영상 #순풍산부인과 #오지명 #선우용녀 #박영규 #박미선 #송혜교 #이태란 #권오중 #김찬우 #김래원","삐돌이 오지명 2탄!! 352회 #웃긴짤 #웃긴영상 #순풍산부인과 #오지명 #선우용녀 #박영규 #박미선 #송혜교 #이태란 #권오중 ...","78470","916"
"헐 이런 투샷이..?🥹 재이월드 변우석&amp;안유진 케미 맞춰보기‼️","","81567","1434"
"2024-12-14 00:00:00","","-1","-1"
"무거운 침묵 속 &#39;긴장&#39;...이 시각 대통령 관저 앞 / YTN","[앵커] 윤석열 대통령에 대한 탄핵소추안 표결이 오늘 오후 4시에 진행되는 가운데, 한남동 관저 주변에는 무거운 긴장감이 돌고 ...","3976","37"
"[오늘 이 뉴스] 대통령실 전달된 &#39;의결서&#39;, 尹 직무정지 효력 시작 (2024.12.14/MBC뉴스)","윤석열 #탄핵소추의결서 #대통령실 #MBC #뉴스 #뉴스데스크 #MBC뉴스 #뉴스투데이 #뉴스ZIP #뉴스꾹 #오늘이뉴스 #자막뉴스 ㅤ ...","107084","2353"
"서울의소리가 모든걸 걸고 만든 영화. &#39;퍼스트레이디&#39;","후원계좌: 국민은행 794001-04-154041 서울의소리(강경자) 2008년 '안티 이명박' 후신 서울의소리는 20여년 동안 어떠한 탄압에도 ...","129370","14706"
"해외에서 난리난 라면 꿀조합ㄷㄷ 이 조합을 왜 먹을까?","흑백리뷰 #이왜먹 #라면 신라면 토마토쥬스 먹방 리뷰.","183881","2658"
"최종 게임의 결과는? #squidgame","","460241","14233"
"덕선이 인생 최고의 생일 #응답하라1988","응답하라1988 #응답하라 #1988 #성동일 #이일화 #라미란 #김성균 #최무성 #김선영 #유재명 #혜리 #류준열 #고경표 #박보검 ...","147139","4484"
"&#39;오징어 게임&#39;이 돌아온다…LA 현지 팬도 &quot;무궁화꽃이 피었습니다&quot;｜지금 이 뉴스","전 세계적으로 흥행한 한국 드라마 '오징어 게임'이 시즌 2 공개를 앞두고 미국 LA에서 특별한 행사가 열렸습니다. 팬들이 직접 게임 ...","6807","78"
"실시간 특이점이 온 냥냥이들10 ㅋㅋㅋ","","53257","879"
"한국인이 성공할수밖에 없는 이유를 알려준다는 외국인","","37243","1414"
"탄핵안 통과돼도 변수는 있다?...친윤계가 주목하는 &#39;헌재법 51조&#39; [Y녹취록] / YTN","진행 : 김선영 앵커 □ 출연 : 김기흥 전 대통령실 부대변인, 장현주 민주당 법률위 부위원장 * 아래 텍스트는 실제 방송 내용과 차이가 ...","276603","1937"
"남자가 풀업 10개를 해야 되는 이유","영상 아래 [▷가장 체계적인 머슬업 테크트리] 클릭해 보세요!","39861","514"
"2024-12-13 00:00:00","","-1","-1"
