"2024-09-24 00:00:00","","-1","-1"
"1인거주 상태가 정말좋아요#쇼츠#군산부동산#다모아tv #군산디오션시티 더샵#신혼부부집","","772","3"
"인간 오토튠 자퀴즈 형님의 레전드 커버 #shorts","목소리에 오토튠 발랐나 #jacquees #Trip #자퀴즈 #외힙 #외힙플리 ============================== 제작 문의 ...","472","8"
"길태미 한번물면 안놓지ㅋ #드라마 #육룡이나르샤","","5796","123"
"#콜드플레이 티켓팅이 성공하기를,,,🙏😭","콜드플레이 #WEPRAY #LittleSimz #BurnaBoy #Elyanna #TINI #coldplay.","1100","0"
"77ㅑㅇ r 〰️ 폴링이 생일이라니 🎂🤍 #IVE #아이브 #GAEUL #가을 #Shorts","","33527","8289"
"김영선 의원이 조용했던 이유는? #shorts #김영선 #기관장","스픽스 #김영선 #기관장 #김건희 #명태균 #장성철 #shorts.","24571","955"
"대통령실 출신이... 김건희만 말한다? [대통령실 5시간 녹취록]","서울의소리 뉴스 전문채널 VOS NEWS, 구독/좋아요/알림설정 부탁드립니다. https://www.youtube.com/@VOS_NEWS ✓후원계좌: ...","34434","2695"
"여자가 &#39;ㅂㄷ&#39; 하면 관심 없는 겁니다","","4765","85"
"베놈의 에디를 향한 마음이 진짜 사랑이라고 하는 이유 #마블 #베놈 #어벤져스","shorts #마블 #아이언맨 #어벤져스.","166420","3258"
"아내의 남사친이 불안하지 않은 이유#엄친아#엄마친구아들#이승준#장영남#조승연","","6526","126"
"54세 김정난이 결혼 안 하는 이유 / #미우새 #김정난","미우새 #김정난.","11871","102"
"동호회 여자들이 좋아하는 인기남은 경계 대상 #snl코리아","snl #시즌6 #하이라이트 #쿠팡플레이 #코메디 #신동엽 #안영미 #정상훈 #김민교 #정성호 #정이랑 #권혁수 #이수지 #김원훈 #김아영 ...","11562","101"
"2024-09-23 00:00:00","","-1","-1"
"혜민이 골프 영남알프스cc  1번홀 드라이브티샷~(24.9.23)만7세","","5963","15"
"한동훈, 독대 사실상 거절에 &quot;이번에 어렵다면 조속히 만나야&quot; / YTN","국민의힘 한동훈 대표는 대통령실이 자신 독대 요청에 사실상 거부 의사를 내비치자, 따로 직접 전달받은 건 없지만, 이번에 만나기 ...","2107","23"
"나율이가 하는 라타타 챌린지! #라타타 #댄서 #릴스 #댄스 #쇼츠 #챌린지 #AFstarz #춤추는곰돌 #춤추는현수 #춤추는나율","춤추는곰돌 #춤추는곰돌의랜덤댄스 #랜덤댄스 #randomdance #afstarz #kpop #dance #댄스 #댄스챌린지 안녕하세요 afstarz ...","4287","466"
"초대박! 요철, 피지 싹 다 없애준다는 클렌징 오일과 패드?!","","65970","4102"
"[#시골간Z] 은지공주는 자나깨나 동원왕자 걱정 뿐 😏 #Shorts","양세찬 #이은지 #이이경 #송건희 #미연 #정동원 #JD1 #시골에간도시Z #시골간Z #ENA #E채널 #공동제작 [시골에 간 도시 Z] EP.03 ...","18334","1853"
"스타 논리적으로 마린메딕이 존나쌘이유ㅋㅋ#shorts  #shortsindia #스타 #games","투네이션 후원 주소 https://toon.at/donate/dud9363 채널멤버쉽Vip가입주소 ...","9296","64"
"범죄사실이 인정됬는데 기소를 안했다면 그 검사가 처벌될 것 #이건태 #국회의원 #김건희 #윤석열 #검찰 #검사 #기소 #처벌 #법무부 #법무부장관 #도이치모터스","","16295","1176"
"&quot;의심되는 사람은 쓰지 않고, 쓴 사람은 의심하지 않는다.&quot; 故이병철 회장의 안목","삼성 #이병철 #명언.","5221","88"
"장동혁 &quot;이재명 때문에 대한민국 헌법 질서가 흔들리고 있다&quot;","TV조선 뉴스·시사 프로그램｜유튜브 라이브 방송시간] 월~금 06:50 강스라이팅 (유튜브) 월~금 07:30 뉴스퍼레이드 월 08:40 ...","177601","13969"
"돌이 된 피콜로와 크리링이 원래대로 돌아올 수 있는 방법 #드래곤볼z","드래곤볼 #드래곤볼명장면 #dragonball #손오공 #베지터 #초사이어인 #shorts #드래곤볼z #드래곤볼슈퍼 #마인부우.","18067","183"
"홍진경이 말하는 우습게 보이지 않는 비결#shorts","임영웅 #황영웅 #불타는트롯맨 #미스터트롯 #이부진 #이재용 #사건사고 #장윤정 #도경완 #장민호 #홍진경.","10509","140"
"2024-09-22 00:00:00","","-1","-1"
"이니스프리 챌린지💚🐯#알고리즘#챌린지#유행#떡상떡상떡상 #포장계 #알고리즘떠라#추천추천추천 #리즘아사랑해 #asmr#아이브#ive#캐럿","","539","13"
"진흙 목욕은 코뿔소에게 000이다?","정답은 영상에서 확인해봐!","12934","1447"
"[엔믹스] 단발파를 위해 붙임머리 떼는 해원이 ㅋㅋㅋㅋ","[엔믹스] 단발파를 위해 붙임머리 떼는 해원이 ㅋㅋㅋㅋ [월간 오해원 #27] 풀영상은 'NMIXX' 유튜브 채널에서 보실 수 있습니다.","462001","17927"
"맛잘알 팬이 알려준 애사비 소다🍎","","89700","2417"
"우리는 오늘 죽을지도 모른다.","납량 #스릴러 #심야괴담회 #과학 #4kvideo #우주 #우주과학 #천문학 #천체 #빵상 #천문학 #천체물리학 #천체관측 #신박과학 #신박 ...","181819","7017"
"다른 남자랑 술 마셔도 괜찮다는 여자들의 이유","shorts #스케치코미디 #개그 #드립 #웃긴영상 #snl 해당 영상은 '쿠팡플레이 snl' 유튜브 채널에서 원본으로 보실 수 있습니다.","510510","7853"
"마주보지 않은 사진은 모르는 사람이란 근거? #이재명","","48734","4952"
"부자가 되려면 지금 당장 현관부터 깨끗이 하세요. #shorts","","98185","3571"
"한국 VS 일본 경제의 미래는? #shorts","일본 #호사카유지 #마이넘버 #라인사태 #라인야후 #일왕제도 #한일GDP #고령화 #출산율 #IT강국 #일본기술 #일본노포 #한일 ...","61159","1998"
"부동산 중과 할 때는 부부는 한 몸! 하지만 증여 할 때는 남남?","shorts.","66542","1534"
"요즘 유행하는💙틱톡 메이크업 따라하기! 이제는 “Y3K MAKE-UP”","틱톡 #틱톡메이크업 #y3k #makeup.","8203","47"
"2024-09-21 00:00:00","","-1","-1"
"[영상] 천년의 역사와 현대의 음악이 만나는 곳 / YTN","어젯밤 진관사에서 '진관미학' 음악회가 열렸습니다. 올해로 20회를 맞은 이번 행사는 전통과 현대가 어우러진 음악으로 사람들에게 ...","1353","6"
"모시던 아가씨가 사실 남자란다 #완결웹툰","웹툰추천 #manga #manhwa #카카오페이지 #모시던아가씨가도련님이되어버렸다.","40560","2814"
"단어만 들어도 흥이 폭발함","","20542","936"
"지 혼자 이세계에서 축구하는 앙리","앙리 #아스날 #프리미어리그.","70731","3037"
"윤석열 부부는 왜 공천에 개입하려고 했을까?","","57610","5477"
"대나무 헬리콥터를 처음 타보는 퉁퉁이","조이는보이 #원피스 #애니메이션.","372103","16822"
"코카콜라랑 펩시 구분하면 1,000만 원","challenge #챌린지 #도전 #콜라 #제로콜라.","45433","0"
"[스테파 리액션캠] 홍석천의 보석함이 열리는 중 | 9/24(화) 밤 10시 첫 방송","MAN:몸으로 싸우는 무용수들의 잔혹한 계급 전쟁 〈스테이지 파이터〉 9월 24일 화요일 밤 10시 첫 방송 #스테이지파이터 ...","17228","328"
"나는 그녀의 스윙이 좋다. #가비러펠스","","20273","284"
"✨나의 관찰력은 몇 개???","구름이의 다른그림찾기 #다른그림찾기 #그림찾기 #치매예방 #spotthedifference #findthedifference #숨은그림찾기 #집중력 #관찰력 ...","14371","566"
"단발이 잘 어울리는 여자 트로트 가수 장윤정 &#39;짠짜라&#39; [8K 세로직캠] | 제2회 고향 사랑의 날 행사 고향은 사랑을 싣고","20240904 제2회 고향 사랑의 날 행사 고향은 사랑을 싣고 Jang Yoon-jeong, a female trot singer with short hair, 'Jjanjjara' [8K ...","27816","606"
"2024-09-20 00:00:00","","-1","-1"
"노래를 부르기만 해도 전원 당첨 이벤트 #챌린지 (설명글 확인)","파파금파챌린지 노래 따라 하는 영상을 촬영후 올려서 참여하면 무조건 상금 당첨되는 챌린지! 1등(1명) : 100만원! 2등(2명) : 50만원!","10668","55"
"[쇼! 음악중심] 타고난 끼가 운명인 완벽넥스트도어❤#BOYNEXTDOOR #보이넥스트도어 #SHORTS","[쇼! 음악중심] 타고난 끼가 운명인 완벽넥스트도어❤ #BOYNEXTDOOR #보이넥스트도어 #shorts c MBC&iMBC 무단 전재, 재배포 ...","19770","2352"
"싱어송라이터의 슈퍼슈퍼(영탁) 챌린지 #슈퍼슈퍼 #영탁 #챌린지","","3337","907"
"바다여 말해주네 다 잊을 때라고 #월간윤종신 #뜬금live #윤종신 #바다이야기","","26104","784"
"50-50 달성한 오타니가 이제 넘어야될 산","shorts.","187045","3700"
"나율이랑 이머전시챌린지🥴 #춤추는큰서윤 #이머전시챌린지 #emergency #춤추는곰돌 #춤추는현수 #틱톡 #쇼츠 #댄스 #챌린지 #trending #tiktok #shorts","","57932","2471"
"옛날vs요즘 사회 분위기 특징 ㅋㅋ","shorts #웃긴영상 #유머 #고양이 #고양이밈 #해피캣 #밈 #meme #happycat.","37527","605"
"[시사쇼 정치다] 검찰이 법정에서 재생한 故 김문기 처장의 영상통화","","671674","39426"
"고민이 있어요 #로봇목소리 #고민","재밌게 보셨다면 구독과 좋아요 부탁드려요! If you enjoyed watching it, please subscribe and like!","4846","0"
